===== actor=cloud_admin — all events =====

===== root WRITE events per day (UploadServerCertificate/CreateAccessKey/PutUserPolicy) =====

===== 2026-03-08 19:00-23:00 WRITE events (non-root-noise), any actor =====
19:01:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:02:11 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:02:19 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:04:29 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:04:34 | ConsoleLogin           | arn:aws:iam::464381121764:root | 216.82.9.162
19:04:36 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:04:38 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:05:18 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
19:06:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:07:12 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:07:19 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:07:30 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
19:09:30 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:09:31 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:09:36 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:10:41 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
19:11:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:11:17 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
19:11:54 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
19:12:05 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:12:12 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:12:19 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:14:20 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:16:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:16:18 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
19:16:37 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:17:12 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:17:19 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:17:32 | AssumeRole             | AWSService     | ec2.amazonaws.com
19:17:32 | AssumeRole             | AWSService     | ec2.amazonaws.com
19:21:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:21:10 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:21:57 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
19:22:12 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:22:19 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:22:35 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
19:23:45 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:26:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:26:31 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:27:13 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:27:18 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:31:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:32:12 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:32:13 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:32:20 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:36:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:37:13 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:37:19 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:38:09 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:38:13 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:38:42 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:38:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:41:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:42:14 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:43:57 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:44:42 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:46:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:47:22 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
19:48:54 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:48:56 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:50:33 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:51:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:53:45 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:53:54 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:53:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
19:55:16 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
19:56:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:56:44 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:58:44 | PutObject              | AWSService     | cloudtrail.amazonaws.com
19:58:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:01:01 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:02:14 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:03:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:03:55 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:06:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:08:04 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
20:08:45 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:08:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:10:25 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:11:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:13:14 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:13:45 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:13:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:15:11 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
20:16:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:16:24 | AssumeRole             | AWSService     | ec2.amazonaws.com
20:16:24 | AssumeRole             | AWSService     | ec2.amazonaws.com
20:18:16 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
20:18:46 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:18:46 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:18:55 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
20:21:00 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:21:56 | AssumeRole             | AWSService     | resource-explorer-2.amazonaws.com
20:23:35 | PutObject              | AWSService     | cloudtrail.amazonaws.com
20:23:45 | UpdateInstanceInformation | i-00779ebad43b2470d | 3.137.170.225
